Line,Source_ID,Redshift,Flux_Jy,NEFD_Jy,t_int_hr
NIII 57$\rm \mu m$,45,2.5833,,,
NIII 57$\rm \mu m$,46,3.1642,,,
NIII 57$\rm \mu m$,47,4.4376,0.043152385711669926,5.396094915660664,108.58930317465942
NIII 57$\rm \mu m$,48,5.323,0.04927050018310547,2.537108508113167,18.413724835230127
NIII 57$\rm \mu m$,49,4.815,0.09104294586181641,2.92348182518602,7.160538778526396
NIII 57$\rm \mu m$,50,2.4807,,,
NIII 57$\rm \mu m$,51,2.026,,,
NIII 57$\rm \mu m$,52,2.7272,,,
NIII 57$\rm \mu m$,53,3.3466,0.18157740783691406,8.845371501857025,16.479576231477886
NIII 57$\rm \mu m$,54,2.4521,,,
NIII 57$\rm \mu m$,55,3.9977,0.15975077819824218,6.074540078966001,10.041031897170829
NIII 57$\rm \mu m$,56,4.0898,0.06802164459228516,6.726561755865979,67.90934156915117
NIII 57$\rm \mu m$,57,3.1551,,,
NIII 57$\rm \mu m$,58,4.4359,0.06695346069335938,5.396094915660664,45.10769224609378
NIII 57$\rm \mu m$,59,3.2601,0.13908956909179687,12.274043435645805,54.078382876433125
NIII 57$\rm \mu m$,60,4.7678,0.06349981307983399,2.9904467282868863,15.401561513217157
NIII 57$\rm \mu m$,61,2.78,,,
NIII 57$\rm \mu m$,62,4.567,0.06406121063232421,2.938873523987672,14.615343173552501
NIII 57$\rm \mu m$,63,3.7604,0.07614338684082031,8.614753586758535,88.89121586427892
NIII 57$\rm \mu m$,64,3.8507,0.08511304473876953,7.257156190506887,50.48684069230837
NIII 57$\rm \mu m$,65,5.1937,0.053429309844970706,2.5372936305169063,15.661012552170732
NIII 57$\rm \mu m$,66,2.8936,,,
NIII 57$\rm \mu m$,67,2.5073,,,
NIII 57$\rm \mu m$,68,4.2796,0.09472523498535157,5.221827174238985,21.103335978165152
NIII 57$\rm \mu m$,69,3.1413,,,
NIII 57$\rm \mu m$,70,5.2927,0.04248706436157226,2.699695389294786,28.038423318058925
NIII 57$\rm \mu m$,71,2.7256,,,
NIII 57$\rm \mu m$,72,4.7555,0.06119742584228516,2.990989141232131,16.58826142659954
NIII 57$\rm \mu m$,73,3.8617,0.04833623123168945,7.085008019653595,149.20130756424436
NIII 57$\rm \mu m$,74,2.8759,,,
NIII 57$\rm \mu m$,75,3.9,0.052613574981689455,6.907304906471188,119.69035033233534
NIII 57$\rm \mu m$,76,4.302,0.05847961044311523,7.079023116639386,101.75956154933117
NIII 57$\rm \mu m$,77,5.8114,0.06817076110839844,1.9115759499602256,5.460398492798922
NIII 57$\rm \mu m$,78,5.5781,0.05112131118774414,2.1666635603248108,12.474309002907425
NIII 57$\rm \mu m$,79,1.867,,,
NIII 57$\rm \mu m$,80,3.07,,,
OI 63$\rm \mu m$,0,2.351,,,
OI 63$\rm \mu m$,1,4.1227,0.10855785620489934,2.91950460666592,5.022654687392522
OI 63$\rm \mu m$,2,3.4436,0.2777770690917969,6.907304906471188,4.293999406658242
OI 63$\rm \mu m$,3,4.8769,0.13706550598144532,2.3781042708336346,2.0904652198597864
OI 63$\rm \mu m$,4,3.0901,0.13768125740074114,14.01531523984213,71.9604054827973
OI 63$\rm \mu m$,5,4.9104,0.2549370604099653,2.2939071204047776,0.5622419152720926
OI 63$\rm \mu m$,6,3.6139,0.19635145568847656,6.726561755865979,8.149960891665684
OI 63$\rm \mu m$,7,3.4434,0.02713685989379883,6.907304906471188,449.9202887444195
OI 63$\rm \mu m$,8,4.2334,0.04695087051391602,2.9904467282868863,28.1723030010074
OI 63$\rm \mu m$,9,2.5149,,,
OI 63$\rm \mu m$,10,3.957,0.1900861524594257,5.468785479171933,5.748020697679002
OI 63$\rm \mu m$,11,4.2991,0.07514778416068255,2.8888712167645316,10.262697144240446
OI 63$\rm \mu m$,12,4.8031,0.09857663726806641,2.446129436669951,4.276105166758249
OI 63$\rm \mu m$,13,2.7882,,,
OI 63$\rm \mu m$,14,4.3492,0.11216033172607422,2.874110744013901,4.560011459372513
OI 63$\rm \mu m$,15,5.0182,0.17287086914709912,2.113307162849106,1.0378130488417419
OI 63$\rm \mu m$,16,3.233,0.16997947692871093,9.583747152819715,22.07573771212053
OI 63$\rm \mu m$,17,5.7022,,,
OI 63$\rm \mu m$,18,5.6256,0.06889334733243264,1.5026471520828006,3.303672287234549
OI 63$\rm \mu m$,19,3.5948,0.10517808532714844,5.6815109242920006,20.263510175561905
OI 63$\rm \mu m$,20,6.9011,,,
OI 63$\rm \mu m$,21,2.9345,0.32620993041992186,11.620720598429676,8.812705788419045
OI 63$\rm \mu m$,22,4.51,0.09978523254394532,2.538249132508144,4.493383158838489
OI 63$\rm \mu m$,23,4.2958,0.28770831298828126,2.8888712167645316,0.700146707056327
OI 63$\rm \mu m$,24,5.6554,,,
OI 63$\rm \mu m$,25,5.6541,,,
OI 63$\rm \mu m$,26,2.6833,,,
OI 63$\rm \mu m$,27,4.0564,0.07442895049646743,2.938873523987672,10.827183825043086
OI 63$\rm \mu m$,28,4.2246,0.14947459411621095,2.990989141232131,2.780560922336729
OI 63$\rm \mu m$,29,5.1353,0.1283567657470703,2.3836160576073637,2.3948183755742765
OI 63$\rm \mu m$,30,3.8519,0.08919888305664063,5.346780437740743,24.951885931864272
OI 63$\rm \mu m$,31,4.4803,0.08972944975088909,2.5820996363815527,5.750604394629721
OI 63$\rm \mu m$,32,5.016,0.07488721466064453,2.113307162849106,5.5302835907455785
OI 63$\rm \mu m$,33,3.9875,0.056165779113769534,5.2814974457871235,61.40561435495972
OI 63$\rm \mu m$,34,4.8562,0.06967024993896484,2.3289828354665816,7.760243459097331
OI 63$\rm \mu m$,35,4.7989,0.06795851135253907,2.446129436669951,8.997226668367759
OI 63$\rm \mu m$,36,2.2334,,,
OI 63$\rm \mu m$,37,3.4039,0.09893194580078125,7.257156190506887,37.3677842224097
OI 63$\rm \mu m$,38,3.7785,0.07208235931396484,5.326780227709145,37.923558325145294
OI 63$\rm \mu m$,39,4.737,0.03827455520629883,2.537108508113167,30.513729117356014
OI 63$\rm \mu m$,40,3.3684,0.09674114227294922,7.684659159698808,43.81918598622614
OI 63$\rm \mu m$,41,3.3986,0.2505987070512798,7.456511110097063,6.148245414950897
OI 63$\rm \mu m$,42,2.7855,,,
OI 63$\rm \mu m$,43,4.2692,0.11373860168457031,2.92348182518602,4.587990764693088
